Dataset,Seed,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_F1,E_AUPRC,E_RME_All,E_RME_Nz,B_F1,B_AUPRC,R_F1,R_AUPRC,R_RME_All,R_RME_Nz
Dataset_I,v0,0.41025641025641024,0.82,0.8851662490777616,0.8841785016985931,0.32,0.82,0.8813433327138537,0.8796487876845774,0.18518518518518517,0.776201923076923,0.18181818181818182,0.7259954407294833,0.922691562391826,0.9223707188766123
Dataset_I,v1,0.32432432432432434,0.6399999999999999,0.9449180541084178,0.9447967063952646,0.3111111111111111,0.6686363636363636,0.9416458609223317,0.9413163080871023,0.16326530612244897,0.7302564102564102,0.17475728155339806,0.7322222222222222,0.946243407192539,0.9462055584397477
Dataset_I,v2,0.5882352941176471,0.5014285714285714,0.9536333504903381,0.953626843182423,0.48,0.5864285714285714,0.950945920785333,0.950893988254702,0.18518518518518517,0.7784104784104784,0.1834862385321101,0.799023569023569,0.9404575215575074,0.9403102908865397
Dataset_II,v0,0.29931972789115646,0.41922917262656934,0.9606694254060072,0.9606448171395683,0.3724137931034483,0.48275599075599074,0.9626519348874881,0.9626325712131993,0.17094017094017094,0.5757285334424611,0.09710743801652892,0.5537215702467811,0.9815037954279265,0.9814831067485452
Dataset_II,v1,0.29457364341085274,0.3762283068783069,0.9615314825248715,0.961464976593682,0.5454545454545454,0.49430054186850536,0.9670469126063659,0.9670432163942948,0.15057915057915058,0.5636215410414973,0.102880658436214,0.7410315745958859,0.9838508730735585,0.9838184323901059
Dataset_II,v2,0.3466666666666667,0.2907556561085973,0.9809806656401759,0.9809710131387135,0.36893203883495146,0.3625564389314391,0.9781948802096814,0.9781349679448235,0.11510791366906475,0.3669121169003343,0.1019367991845056,0.5813771704475975,0.9871257357750232,0.9870890528775075
Dataset_III,v0,0.2598870056497175,0.44220877192982455,0.9642846888796179,0.9642754973553657,0.24066390041493776,0.5353039139350353,0.9664404325733318,0.9664273467565946,0.06060606060606061,0.6303138758730368,0.013838748495788207,0.5773669539758938,0.9920691782161684,0.9920552454204451
Dataset_III,v1,0.1895734597156398,0.37831808731808736,0.963308905870285,0.963243695354831,0.40707964601769914,0.46110000000000007,0.9680844745572658,0.9680717812416998,0.03871829105473965,0.5024247877138173,0.014138272303124559,0.6882397283202177,0.995652779144642,0.9956293337640508
Dataset_III,v2,0.14479638009049775,0.2748015329542205,0.9795606770215249,0.979452879196607,0.13478260869565217,0.4538561224471578,0.9845636513442252,0.9844528342988557,0.04071246819338423,0.38066169001386574,0.012932892656990947,0.4842749163190845,0.9967947111048007,0.9967759397812125
Dataset_IV,v0,0.2545454545454545,0.5193816220741171,0.9639186359455209,0.9639141686449245,0.16816816816816818,0.5453560283687944,0.9655670237673799,0.9655559976438861,0.036151603498542274,0.5474791431706194,0.014660965180207697,0.6158134289572129,0.9870712992409414,0.9870551725385294
Dataset_IV,v1,0.17567567567567569,0.4821100588115479,0.9574961444097919,0.9574659411114698,0.6419753086419753,0.5202021978021978,0.9660063554475621,0.966005964774482,0.028896672504378284,0.5984486345740907,0.014667057788207686,0.7390419031860355,0.9907720599123029,0.9907449692707535
Dataset_IV,v2,0.09782608695652174,0.3498269088280474,0.97435289933455,0.9742171734909789,0.0847457627118644,0.36779232479232477,0.9753311977218238,0.9751839979088995,0.023440453686200378,0.41804080280756784,0.01358695652173913,0.5927887265506884,0.9943788418193965,0.9943547521051644
