Dataset,Seed,R_F1,R_AUPRC
Dataset_I,v0,0.5714285714285714,0.5333333333333333
Dataset_I,v1,0.7,0.6924394319131161
Dataset_I,v2,0.5454545454545454,0.6643914490788023
Dataset_I,v3,0.7777777777777778,0.6922964721845318
Dataset_I,v4,0.6666666666666666,0.6612587186441176
Dataset_I,v5,0.7,0.6774798907027821
Dataset_I,v6,0.7058823529411765,0.6740347064751826
Dataset_I,v7,0.6666666666666666,0.6877849927849928
Dataset_I,v8,0.6666666666666666,0.6442913000977517
Dataset_I,v9,0.6666666666666666,0.674047619047619
Dataset_II,v0,0.11320754716981132,0.485141781399865
Dataset_II,v1,0.07692307692307693,0.5634992832667581
Dataset_II,v2,0.11320754716981132,0.5321149669160732
Dataset_II,v3,0.07692307692307693,0.3539109548577934
Dataset_II,v4,0.0392156862745098,0.3695261271302518
Dataset_II,v5,0.07692307692307693,0.5119643372887157
Dataset_II,v6,0.11320754716981132,0.5342374609591904
Dataset_II,v7,0.21428571428571427,0.43100244157044076
Dataset_II,v8,0.14814814814814814,0.509715843876307
Dataset_II,v9,0.11320754716981132,0.6994691630043448
Dataset_III,v0,0.0,0.33669605816169723
Dataset_III,v1,0.0,0.38127627326351593
Dataset_III,v2,0.0,0.2582912102860915
Dataset_III,v3,0.0,0.3012418857419675
Dataset_III,v4,0.0,0.09222924493512315
Dataset_III,v5,0.0,0.2966055929082171
Dataset_III,v6,0.0,0.2673344190077676
Dataset_III,v7,0.0,0.2576420343200668
Dataset_III,v8,0.0,0.29186407367694694
Dataset_III,v9,0.0,0.17482212334312625
Dataset_IV,v0,0.0,0.12351467442758038
Dataset_IV,v1,0.0,0.140092569359318
Dataset_IV,v2,0.0,0.22326107228578548
Dataset_IV,v3,0.0,0.06470630462370455
Dataset_IV,v4,0.0,0.11080465155600938
Dataset_IV,v5,0.0,0.10828504840671618
Dataset_IV,v6,0.11320754716981132,0.19237984867779584
Dataset_IV,v7,0.0,0.23857623160867755
Dataset_IV,v8,0.0,0.06694673622137938
Dataset_IV,v9,0.0,0.06992928639857175
