Gene,Coefficient,Importance_Score,Correlation,P_Value,Bonferroni_P,Reference
DEFB120,0.11515384498412672,0.11515384498412672,0.5019254889650383,0.0,0.0,
ONECUT3,0.10438646345472784,0.10438646345472784,0.476074522776597,0.0,0.0,
GSC2,0.09142653395011464,0.09142653395011464,0.45098675032775887,7.025752393667506e-292,1.3894830508956227e-287,
COL22A1,-0.08200753733603697,0.08200753733603697,-0.3024555377710514,0.0,0.0,
UGT1A10,0.07076400239111862,0.07076400239111862,0.37976301461905754,1.1744945183567569e-88,2.322797808954158e-84,
AMTN,0.06432195355372451,0.06432195355372451,0.4520142642236722,1.121762521232408e-139,2.218509738241333e-135,
LINC00442,0.060331275003698226,0.060331275003698226,0.4495250424313393,3.6064509463050456e-146,7.132478036507488e-142,
HILS1,-0.05995634548404849,0.05995634548404849,-0.27519244895420353,0.0,0.0,
USP17L6P,0.057046652656424474,0.057046652656424474,0.3759041315495923,6.177314719706622e-148,1.2216875321163786e-143,
GPR50,0.05635562238843112,0.05635562238843112,0.36070823949196656,9.110718386954362e-199,1.8018267753879642e-194,
